id,title,assigneeId,dueDate,status,comments,metadata
"113","Implement push notifications","1002","2025-08-20","todo","[{"text": "Reviewed by QA"}]","{"notes":"Requires SSH"}"
"114","Deploy mobile app update","1003","2025-08-19","in-progress","[{"text": "Reviewed by QA"}]","{}"
"115","Fix bug in authentication flow","1002","2025-08-10","","[{"text": "Reviewed by QA"}]","{"priority":"low"}"
"116","Create multi-language support","1001","2025-09-15","in-progress","[{"text": "Debugged last night"}]","{}"
"117","Build webhook endpoints","1001","2025-08-05","done","[]","{"priority":"high"}"
"118","Deploy mobile app update","1001","2025-08-23","todo","[{"text": "Waiting on credentials"}]","{"priority":"low"}"
"task-119","Deploy mobile app update","1003","2025-08-17","done","[{"text": "Fixed edge case"}]","{"priority":"medium"}"
"120","Update dependencies","1003","2025-09-21","done","[{"text": "Debugged last night"}]","{}"
"121","Write API documentation","1003","2025-09-12","todo","[{"text": "Debugged last night"}]","{"priority":"high"}"
"122","Design new logo","1002","2025-09-20","done","[{"text": "Initial spec done"}]","{"priority":"low"}"
"123","Optimize images","1003","2025-09-14","in-progress","[]","{}"
"124","Implement OAuth","devA","2025-09-22","done","[]","{"priority":"low"}"
"125","Refactor form validation logic","1001","2025-08-13","done","[{"text": "Waiting on credentials"}]","{"priority":"medium"}"
"126","Implement OAuth","1003","2025-08-06","","[{"text": "Upgrade plan drafted"}]","{"priority":"low"}"
"127","Fix bug in authentication flow","1003","2025-09-30","done","[]","{}"
"128","Implement OAuth","1001","2025-08-21","todo","[]","{"priority":"low"}"
"129","Design mobile prototype","1003","2025-08-01","","[{"text": "Upgrade plan drafted"}]","{}"
"130","Benchmark database queries","1002","2025-09-21","in-progress","[{"text": "Fixed edge case"}]","{"priority":"low"}"
"131","Enhance search filters","1001","2025-09-02","in-progress","[{"text": "Initial spec done"}]","{"notes":"Requires SSH"}"
"132","Patch XSS vulnerabilities","1002","2025-08-15","","[{"text": "Initial spec done"}]","{}"
"133","Create multi-language support","1002","2025-09-13","done","[{"text": "Reviewed by QA"}]","{"priority":"medium"}"
"134","Train support staff","1003","2025-09-09","todo","[]","{"priority":"medium","tags":["frontend"]}"
"135","Benchmark database queries","1003","2025-09-26","todo","[{"text": "Initial spec done"}]","{"priority":"medium","tags":["frontend"]}"
"task-136","Write unit tests","1003","2025-09-07","in-progress","[{"text": "Debugged last night"}]","{}"
"137","Refactor legacy code","1002","2025-09-16","","[{"text": "Reviewed by QA"}]","{"priority":"high"}"
"138","Setup CI/CD pipeline","1003","2025-09-14","done","[{"text": "Debugged last night"}]","{}"
"139","Build dashboard reports","1003","2025-08-25","done","[]","{"priority":"medium","tags":["frontend"]}"
"140","Overhaul CSS architecture","1002","2025-08-02","","[]","{"priority":"medium","tags":["frontend"]}"
"141","Deploy to staging","1003","2025-08-14","done","[{"text": "Reviewed by QA"}]","{"priority":"medium"}"
"142","Refactor legacy code","1003","2025-08-31","todo","[]","{"priority":"medium","tags":["frontend"]}"
"143","Conduct security audit","1003","2025-09-03","todo","[]","{"priority":"low"}"
"144","Upgrade SSL certificate","1002","2025-09-25","done","[{"text": "Upgrade plan drafted"}]","{}"
"145","Design mobile prototype","1003","2025-08-04","","[{"text": "Waiting on credentials"}]","{}"
"146","Handle payment disputes","1001","2025-08-11","","[]","{}"
"147","Write API documentation","1001","2025-08-15","in-progress","[]","{"priority":"high"}"
"148","Implement push notifications","1001","2025-08-15","done","[{"text": "Reviewed by QA"}]","{"priority":"medium","tags":["frontend"]}"
"149","Patch XSS vulnerabilities","1002","2025-08-09","done","[{"text": "Reviewed by QA"}]","{"priority":"medium"}"
"150","Upgrade SSL certificate","1003","2025-09-14","","[{"text": "Upgrade plan drafted"}]","{"notes":"Requires SSH"}"
"151","Archive closed tasks","1003","2025-08-31","done","[{"text": "Initial spec done"}]","{"priority":"high"}"
"152","Handle payment disputes","1002","2025-08-09","done","[{"text": "Waiting on credentials"}]","{"priority":"high"}"
"task-153","Fix UI alignment issues","1001","2025-08-18","","[]","{}"
"154","Patch XSS vulnerabilities","1002","2025-08-25","","[{"text": "Fixed edge case"}]","{"notes":"Requires SSH"}"
"155","Test accessibility features","devA","2025-09-17","done","[{"text": "Reviewed by QA"}]","{"priority":"high"}"
"156","Draft GDPR compliance report","1003","2025-09-26","in-progress","[{"text": "Waiting on credentials"}]","{}"
"157","Design admin panel","1003","2025-08-27","done","[]","{"priority":"medium"}"
"158","Implement push notifications","1002","2025-08-06","in-progress","[]","{"priority":"high"}"
"159","Design mobile prototype","1002","2025-08-12","todo","[]","{}"
"160","Debug session timeouts","1003","2025-08-08","","[]","{"priority":"high"}"
"161","Refactor Redux logic","1003","2025-09-22","","[{"text": "Debugged last night"}]","{"priority":"high"}"
"162","Update privacy policy","1001","2025-08-21","in-progress","[{"text": "Debugged last night"}]","{"priority":"medium","tags":["frontend"]}"
"163","Audit error logs","1001","2025-09-21","in-progress","[{"text": "Fixed edge case"}]","{"priority":"medium"}"
"164","Refactor form validation logic","1002","2025-08-28","todo","[]","{"priority":"medium"}"
"165","Fix bug in authentication flow","1003","2025-09-15","todo","[{"text": "Debugged last night"}]","{"priority":"high"}"
"166","Integrate payment gateway","1001","2025-08-23","done","[]","{"priority":"medium"}"
"167","Optimize server memory","1001","2025-09-07","in-progress","[]","{"priority":"medium"}"
"168","Design new logo","1002","2025-09-01","","[{"text": "Waiting on credentials"}]","{"priority":"medium"}"
"169","Plan Q4 roadmap","1003","2025-08-21","in-progress","[{"text": "Debugged last night"}]","{"priority":"low"}"
"task-170","Enhance search filters","1001","2025-08-29","","[{"text": "Debugged last night"}]","{}"
"171","Update dependencies","1002","2025-08-23","in-progress","[{"text": "Debugged last night"}]","{"priority":"medium","tags":["frontend"]}"
"172","Refactor legacy code","1001","2025-09-19","todo","[{"text": "Reviewed by QA"}]","{}"
"173","Build webhook endpoints","1002","2025-08-02","","[{"text": "Fixed edge case"}]","{"priority":"medium","tags":["frontend"]}"
"174","Debug session timeouts","1003","2025-09-23","in-progress","[{"text": "Debugged last night"}]","{"priority":"low"}"
"175","Optimize server memory","1003","2025-08-02","in-progress","[{"text": "Fixed edge case"}]","{"priority":"medium","tags":["frontend"]}"
"176","Enforce coding standards","1002","2025-08-24","done","[{"text": "Upgrade plan drafted"}]","{"notes":"Requires SSH"}"
"177","Setup CI/CD pipeline","1001","2025-09-17","in-progress","[{"text": "Debugged last night"}]","{"notes":"Requires SSH"}"
"178","Create multi-language support","1002","2025-09-02","done","[{"text": "Upgrade plan drafted"}]","{"priority":"medium","tags":["frontend"]}"
"179","Refactor legacy code","1001","2025-08-12","","[{"text": "Debugged last night"}]","{"priority":"medium","tags":["frontend"]}"
"180","Refactor Redux logic","1001","2025-08-28","in-progress","[{"text": "Debugged last night"}]","{}"
"181","Patch XSS vulnerabilities","1003","2025-08-30","done","[]","{"priority":"high"}"
"182","Refactor form validation logic","1003","2025-08-27","done","[]","{}"
"183","Conduct security audit","1003","2025-09-25","in-progress","[]","{"priority":"high"}"
"184","Resolve customer complaints","1001","2025-08-15","todo","[{"text": "Reviewed by QA"}]","{"priority":"medium","tags":["frontend"]}"
"185","Update dependencies","1001","2025-08-01","in-progress","[{"text": "Debugged last night"}]","{"priority":"high"}"
"186","Review user feedback","devA","2025-09-21","done","[{"text": "Waiting on credentials"}]","{}"
"task-187","Deploy mobile app update","1002","2025-09-13","todo","[]","{}"
"188","Build webhook endpoints","1002","2025-08-29","done","[]","{"priority":"high"}"
"189","Setup CI/CD pipeline","1002","2025-09-02","in-progress","[{"text": "Fixed edge case"}]","{"priority":"high"}"
"190","Build webhook endpoints","1001","2025-08-19","","[{"text": "Upgrade plan drafted"}]","{"priority":"low"}"
"191","Automate backup scripts","1001","2025-08-31","","[{"text": "Reviewed by QA"}]","{"priority":"medium","tags":["frontend"]}"
"192","Write unit tests","1001","2025-08-16","","[{"text": "Initial spec done"}]","{"priority":"medium","tags":["frontend"]}"
"193","Design login page","1003","2025-09-04","done","[{"text": "Upgrade plan drafted"}]","{"notes":"Requires SSH"}"
"194","Patch XSS vulnerabilities","1002","2025-09-29","todo","[{"text": "Upgrade plan drafted"}]","{"priority":"high"}"
"195","Benchmark database queries","1002","2025-09-11","done","[{"text": "Waiting on credentials"}]","{"priority":"low"}"
"196","Design admin panel","1003","2025-08-20","done","[{"text": "Upgrade plan drafted"}]","{"priority":"medium"}"
"197","Monitor API latency","1002","2025-08-13","todo","[{"text": "Waiting on credentials"}]","{"priority":"medium"}"
"198","Implement OAuth","1003","2025-08-28","todo","[{"text": "Reviewed by QA"}]","{"priority":"high"}"
"199","Debug session timeouts","1003","2025-08-13","in-progress","[{"text": "Debugged last night"}]","{"priority":"low"}"
"200","Draft user onboarding emails","1002","2025-09-02","todo","[{"text": "Fixed edge case"}]","{"priority":"medium"}"
"201","Draft user onboarding emails","1002","2025-09-30","todo","[{"text": "Debugged last night"}]","{"priority":"high"}"
"202","Design new logo","1001","2025-09-14","done","[{"text": "Waiting on credentials"}]","{"notes":"Requires SSH"}"
"203","Implement OAuth","1002","2025-09-12","in-progress","[{"text": "Reviewed by QA"}]","{"priority":"medium"}"
"task-204","Fix UI alignment issues","1001","2025-08-20","todo","[{"text": "Initial spec done"}]","{"priority":"high"}"
"205","Design admin panel","1003","2025-09-01","todo","[{"text": "Waiting on credentials"}]","{"priority":"medium"}"
"206","Write blog announcement","1003","2025-09-22","done","[{"text": "Fixed edge case"}]","{"priority":"medium","tags":["frontend"]}"
"207","Write unit tests","1002","2025-09-21","todo","[]","{"priority":"high"}"
"208","Optimize API responsiveness","1003","2025-09-07","","[{"text": "Initial spec done"}]","{"priority":"medium"}"
"209","Review user feedback","1001","2025-09-23","todo","[{"text": "Initial spec done"}]","{"priority":"high"}"
"210","Upgrade SSL certificate","1003","2025-08-21","","[{"text": "Initial spec done"}]","{}"
"211","Plan Q4 roadmap","1002","2025-09-14","","[]","{}"
"212","Conduct security audit","1003","2025-08-27","todo","[{"text": "Reviewed by QA"}]","{"priority":"low"}"
"213","Handle payment disputes","1003","2025-08-16","done","[{"text": "Reviewed by QA"}]","{"priority":"medium","tags":["frontend"]}"
"214","Patch XSS vulnerabilities","1003","2025-09-03","todo","[{"text": "Reviewed by QA"}]","{}"
"215","Audit error logs","1001","2025-08-24","done","[]","{}"
"216","Create feedback analytics","1003","2025-09-28","in-progress","[]","{"priority":"medium","tags":["frontend"]}"
"217","Update support FAQ","devA","2025-08-02","in-progress","[{"text": "Fixed edge case"}]","{"priority":"high"}"
"218","Automate backup scripts","1003","2025-08-10","done","[{"text": "Reviewed by QA"}]","{"notes":"Requires SSH"}"
"219","Monitor API latency","1003","2025-08-17","in-progress","[]","{"notes":"Requires SSH"}"
"220","Fix bug in authentication flow","1002","2025-09-09","","[{"text": "Upgrade plan drafted"}]","{"priority":"low"}"
"task-221","Train support staff","1001","2025-09-14","todo","[{"text": "Fixed edge case"}]","{"notes":"Requires SSH"}"
"222","Write unit tests","1002","2025-09-30","in-progress","[{"text": "Initial spec done"}]","{"priority":"medium"}"
"223","Implement OAuth","1001","2025-09-23","in-progress","[]","{"priority":"high"}"
"224","Review vendor contracts","1002","2025-09-08","done","[{"text": "Fixed edge case"}]","{"priority":"high"}"
"225","Write API documentation","1002","2025-08-26","done","[]","{"priority":"medium","tags":["frontend"]}"
"226","Archive closed tasks","1001","2025-08-30","todo","[{"text": "Upgrade plan drafted"}]","{"priority":"medium","tags":["frontend"]}"
"227","Plan Q4 roadmap","1002","2025-08-16","","[{"text": "Fixed edge case"}]","{"priority":"high"}"
"228","Write unit tests","1003","2025-09-16","todo","[]","{"priority":"low"}"
"229","Automate backup scripts","1001","2025-08-17","","[{"text": "Debugged last night"}]","{"priority":"high"}"
"230","Write unit tests","1002","2025-08-27","done","[]","{}"
"231","Refactor form validation logic","1001","2025-09-16","todo","[{"text": "Initial spec done"}]","{"priority":"medium"}"
"232","Setup CI/CD pipeline","1001","2025-08-28","in-progress","[{"text": "Reviewed by QA"}]","{}"
"233","Write unit tests","1002","2025-09-01","","[{"text": "Initial spec done"}]","{"priority":"medium"}"
"234","Benchmark database queries","1003","2025-09-08","done","[{"text": "Upgrade plan drafted"}]","{}"
"235","Monitor API latency","1001","2025-09-26","","[{"text": "Initial spec done"}]","{"priority":"high"}"
"236","Migrate database schema","1001","2025-09-17","in-progress","[]","{"notes":"Requires SSH"}"
"237","Analyze system performance","1001","2025-08-12","in-progress","[{"text": "Fixed edge case"}]","{"priority":"high"}"
"task-238","Create multi-language support","1003","2025-08-21","done","[{"text": "Waiting on credentials"}]","{"priority":"low"}"
"239","Update privacy policy","1002","2025-08-13","done","[]","{"priority":"medium","tags":["frontend"]}"
"240","Refactor form validation logic","1002","2025-08-20","in-progress","[{"text": "Fixed edge case"}]","{"priority":"high"}"
"241","Draft user onboarding emails","1002","2025-09-21","todo","[]","{"priority":"high"}"
"242","Automate backup scripts","1003","2025-09-30","done","[{"text": "Debugged last night"}]","{"priority":"high"}"
"243","Overhaul CSS architecture","1002","2025-08-03","todo","[]","{"priority":"high"}"
"244","Refactor Redux logic","1003","2025-08-01","","[{"text": "Upgrade plan drafted"}]","{"priority":"medium","tags":["frontend"]}"
"245","Train support staff","1001","2025-09-25","done","[{"text": "Upgrade plan drafted"}]","{"priority":"medium","tags":["frontend"]}"
"246","Refactor form validation logic","1002","2025-08-23","todo","[{"text": "Debugged last night"}]","{"priority":"low"}"
"247","Review user feedback","1002","2025-08-25","done","[]","{"priority":"medium","tags":["frontend"]}"
"248","Audit error logs","devA","2025-09-21","done","[{"text": "Reviewed by QA"}]","{}"
"249","Benchmark database queries","1002","2025-08-06","in-progress","[{"text": "Upgrade plan drafted"}]","{}"
"250","Optimize API responsiveness","1002","2025-08-30","done","[]","{}"
"251","Overhaul CSS architecture","1001","2025-09-20","todo","[{"text": "Upgrade plan drafted"}]","{"priority":"medium","tags":["frontend"]}"
"252","Design login page","1001","2025-08-02","todo","[]","{}"
"253","Write blog announcement","1002","2025-09-04","done","[]","{}"
"254","Optimize server memory","1003","2025-08-10","","[{"text": "Reviewed by QA"}]","{}"
"task-255","Fix UI alignment issues","1001","2025-08-17","todo","[{"text": "Reviewed by QA"}]","{"priority":"medium","tags":["frontend"]}"
"256","Archive closed tasks","1003","2025-09-04","","[{"text": "Fixed edge case"}]","{"priority":"high"}"
"257","Review vendor contracts","1003","2025-08-04","","[{"text": "Reviewed by QA"}]","{"priority":"high"}"
"258","Design login page","1003","2025-08-14","done","[{"text": "Debugged last night"}]","{}"
"259","Migrate database schema","1002","2025-08-10","done","[]","{"priority":"high"}"
"260","Conduct security audit","1003","2025-09-20","in-progress","[]","{"priority":"medium","tags":["frontend"]}"
"261","Monitor API latency","1003","2025-08-20","in-progress","[{"text": "Waiting on credentials"}]","{"priority":"medium"}"
"262","Upgrade SSL certificate","1003","2025-08-04","done","[]","{"notes":"Requires SSH"}"
"263","Fix bug in authentication flow","1001","2025-09-19","todo","[{"text": "Reviewed by QA"}]","{}"
"264","Refactor Redux logic","1003","2025-09-16","done","[{"text": "Waiting on credentials"}]","{"priority":"low"}"
"265","Handle payment disputes","1001","2025-09-02","","[{"text": "Upgrade plan drafted"}]","{"priority":"high"}"
"266","Update support FAQ","1001","2025-09-17","in-progress","[{"text": "Debugged last night"}]","{}"
"267","Test accessibility features","1003","2025-08-01","in-progress","[{"text": "Fixed edge case"}]","{"priority":"low"}"
"268","Implement push notifications","1003","2025-09-17","done","[{"text": "Fixed edge case"}]","{"notes":"Requires SSH"}"
"269","Refactor Redux logic","1002","2025-09-27","","[]","{}"
"270","Design new logo","1003","2025-08-02","todo","[{"text": "Initial spec done"}]","{}"
"271","Build webhook endpoints","1001","2025-08-10","in-progress","[{"text": "Debugged last night"}]","{"priority":"medium"}"
"task-272","Benchmark database queries","1001","2025-08-16","done","[{"text": "Initial spec done"}]","{"priority":"medium","tags":["frontend"]}"
"273","Optimize images","1001","2025-09-12","","[{"text": "Fixed edge case"}]","{}"
"274","Review vendor contracts","1002","2025-08-11","in-progress","[{"text": "Fixed edge case"}]","{}"
"275","Handle payment disputes","1001","2025-09-29","todo","[{"text": "Fixed edge case"}]","{"priority":"low"}"
"276","Refactor Redux logic","1001","2025-09-30","","[{"text": "Initial spec done"}]","{}"
"277","Review vendor contracts","1002","2025-09-04","todo","[{"text": "Fixed edge case"}]","{"priority":"medium","tags":["frontend"]}"
"278","Fix bug in authentication flow","1003","2025-09-21","","[]","{"notes":"Requires SSH"}"
"279","Enhance search filters","devA","2025-08-29","in-progress","[]","{"priority":"medium"}"
